onset	duration	trial_type	response_time	sample	value
2.3375000000	0.0002000000	stimulus	n/a	23375.0000000000	tib1
2.6155000000	0.0002000000	stimulus	n/a	26155.0000000000	tib1
2.8904000000	0.0002000000	stimulus	n/a	28904.0000000000	tib12
3.1398000000	0.0002000000	stimulus	n/a	31398.0000000000	tib2
3.3975000000	0.0002000000	stimulus	n/a	33975.0000000000	tib12
3.6801000000	0.0002000000	stimulus	n/a	36801.0000000000	tib2
3.9427000000	0.0002000000	stimulus	n/a	39427.0000000000	tib12
4.2155000000	0.0002000000	stimulus	n/a	42155.0000000000	tib2
4.4615000000	0.0002000000	stimulus	n/a	44615.0000000000	tib12
4.7143000000	0.0002000000	stimulus	n/a	47143.0000000000	tib2
4.9669000000	0.0002000000	stimulus	n/a	49669.0000000000	tib12
5.2146000000	0.0002000000	stimulus	n/a	52146.0000000000	tib1
5.4946000000	0.0002000000	stimulus	n/a	54946.0000000000	tib1
5.7778000000	0.0002000000	stimulus	n/a	57778.0000000000	tib1
6.0414000000	0.0002000000	stimulus	n/a	60414.0000000000	tib1
6.2788000000	0.0002000000	stimulus	n/a	62788.0000000000	tib2
6.5424000000	0.0002000000	stimulus	n/a	65424.0000000000	tib12
6.7860000000	0.0002000000	stimulus	n/a	67860.0000000000	tib2
7.0500000000	0.0002000000	stimulus	n/a	70500.0000000000	tib2
7.3171000000	0.0002000000	stimulus	n/a	73171.0000000000	tib2
7.5811000000	0.0002000000	stimulus	n/a	75811.0000000000	tib2
7.8364000000	0.0002000000	stimulus	n/a	78364.0000000000	tib1
8.1240000000	0.0002000000	stimulus	n/a	81240.0000000000	tib12
8.4067000000	0.0002000000	stimulus	n/a	84067.0000000000	tib12
8.6810000000	0.0002000000	stimulus	n/a	86810.0000000000	tib2
8.9267000000	0.0002000000	stimulus	n/a	89267.0000000000	tib12
9.1723000000	0.0002000000	stimulus	n/a	91723.0000000000	tib1
9.4117000000	0.0002000000	stimulus	n/a	94117.0000000000	tib12
9.6767000000	0.0002000000	stimulus	n/a	96767.0000000000	tib12
