name	x	y	z	type	material
Iz	0	0	308	ring	Ag/AgCl
SC1	0	0	263	ring	Ag/AgCl
S3	0	0	219	ring	Ag/AgCl
S4	-50	0	209	ring	Ag/AgCl
S5	-10	0	209	ring	Ag/AgCl
S6	0	0	199	ring	Ag/AgCl
S7	10	0	209	ring	Ag/AgCl
S8	50	0	209	ring	Ag/AgCl
S9	-10	0	189	ring	Ag/AgCl
SC6	0	0	179	ring	Ag/AgCl
S11	10	0	189	ring	Ag/AgCl
S12	-50	0	169	ring	Ag/AgCl
S13	-10	0	169	ring	Ag/AgCl
S14	0	0	159	ring	Ag/AgCl
S15	10	0	169	ring	Ag/AgCl
S16	50	0	169	ring	Ag/AgCl
S17	-10	0	149	ring	Ag/AgCl
S18	0	0	139	ring	Ag/AgCl
S19	10	0	149	ring	Ag/AgCl
TH6	0	0	0	ring	Ag/AgCl
S20	0	0	-171	ring	Ag/AgCl
S21	-50	0	-181	ring	Ag/AgCl
S22	-10	0	-181	ring	Ag/AgCl
S23	0	0	-191	ring	Ag/AgCl
S24	10	0	-181	ring	Ag/AgCl
S25	50	0	-181	ring	Ag/AgCl
S26	-10	0	-201	ring	Ag/AgCl
L1	0	0	-211	ring	Ag/AgCl
S28	10	0	-201	ring	Ag/AgCl
S29	-50	0	-221	ring	Ag/AgCl
S30	-10	0	-221	ring	Ag/AgCl
S31	0	0	-231	ring	Ag/AgCl
S32	10	0	-221	ring	Ag/AgCl
S33	50	0	-221	ring	Ag/AgCl
S34	-10	0	-241	ring	Ag/AgCl
S35	0	0	-251	ring	Ag/AgCl
S36	10	0	-241	ring	Ag/AgCl
L4	0	0	-330	ring	Ag/AgCl
AC	0	n/a	n/a	ring	Ag/AgCl
AL	0	n/a	n/a	ring	Ag/AgCl
Fz-TH6	0	n/a	n/a	ring	Ag/AgCl
